selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
257,anisotropic_image_scale_linear,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,542,1340
258,anisotropic_image_scale_mip,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,542,1340
259,async_rescale_and_read_alpha_type,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,3,0,0.0,0.0,True,,True,True,512,512
260,async_rescale_and_read_rose,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,7,0,0.0,0.0,True,,True,True,1230,820
261,async_rescale_and_read_no_bleed,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,2,0,20.166666666666664,0.0,True,,True,True,60,60
262,async_yuv_no_scale,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,2,0,56.666666666666664,0.0,True,,True,True,400,300
263,bicubic,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,300,320
264,bigmatrix,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,50,50
265,bitmapcopy,IMAGE,non-blocking,trusted,refusal,refused,images,unsupported.image.pixel.format,unsupported.image.pixel.format,unsupported.image.pixel.format,0,0,,0.0,,generated-render-missing,True,False,540,330
266,bitmapfilters,IMAGE,non-blocking,trusted,failure,failed,other,,invalid.preflight.text.dependency,invalid.preflight.text.dependency,0,0,,0.0,,generated-render-missing,True,False,540,250
