gm,refusalCode,rootCauseBucket,item
clip_sierpinski_region,unsupported.composite.clip,unsupported composite operation,none
clip_strokerect,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
clipsuperrrect,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
complexclip3_complex,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
complexclip3_simple,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
complexclip4_aa,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
complexclip4_bw,unsupported.core_primitive.coverage_sample.scalar_aa_not_promoted,unsupported core-primitive execution feature,none
complexclip_aa,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
complexclip_aa_invert,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
complexclip_aa_layer,unsupported.composite.clip,unsupported composite operation,none
complexclip_aa_layer_invert,unsupported.composite.clip,unsupported composite operation,none
complexclip_blur_tiled,unsupported.composite.paint,unsupported composite operation,none
complexclip_bw,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
complexclip_bw_invert,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
complexclip_bw_layer,unsupported.composite.clip,unsupported composite operation,none
complexclip_bw_layer_invert,unsupported.composite.clip,unsupported composite operation,none
convex_poly_clip,unsupported.material.gradient_tile_mode_unsupported,unsupported material feature,none
crbug_892988,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
croppedrects,unsupported.geometry.path_key_nondeterministic,unsupported geometry feature,none
distantclip,unsupported.recording.core_primitive_mixed_uniform_layouts,unsupported recording feature,4
fast_constraint_red_is_allowed,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
fast_constraint_red_is_allowed_manual,unsupported.image.alpha_interpretation,unsupported image/sampler feature,none
inverseclip,unsupported.core_primitive.stencil_edge_fan_budget,unsupported core-primitive execution feature,none
