rowId,name,family,subfamily,classification,similarity,minSimilarity,isPassing,width,height,matchingPixels,totalPixels,maxDiff,meanDiff,fallbackReason,referencePath,generatedPath,diffPath,noScoreCause
gradients_2pt_conical_outside,gradients_2pt_conical_outside,GRADIENT,gradient-conical,instrumented-existing,0.005112474437627812,0.0,true,840,815,35,684600,221/221/221/0,19.03/19.67/26.98/0.0,none,images/reference/gradients_2pt_conical_outside.png,images/generated/gradients_2pt_conical_outside.png,images/diff/gradients_2pt_conical_outside.png,
conicalgradients,conicalgradients,GRADIENT,gradient-conical,no-score,,0.0,,840,815,,,0/0/0/0,0.0/0.0/0.0/0.0,none,,images/generated/conicalgradients.png,,reference-missing
crbug_938592,crbug_938592,GRADIENT,gradient-linear,instrumented-existing,88.0,83.0,true,500,300,132000,150000,212/242/236/0,147.55/132.23/117.3/0.0,none,images/reference/crbug_938592.png,images/generated/crbug_938592.png,images/diff/crbug_938592.png,
degenerate_gradients,degenerate_gradients,GRADIENT,gradient-linear,instrumented-existing,65.5884375,0.0,true,800,800,419766,640000,255/255/255/0,144.86/150.62/146.94/0.0,none,images/reference/degenerate_gradients.png,images/generated/degenerate_gradients.png,images/diff/degenerate_gradients.png,
emptyshader,emptyshader,GRADIENT,gradient-linear,instrumented-existing,0.8877840909090909,0.0,true,128,88,165,11264,255/204/255/0,54.06/64.8/43.31/0.0,none,images/reference/emptyshader.png,images/generated/emptyshader.png,images/diff/emptyshader.png,
fillrect_gradient,fillrect_gradient,GRADIENT,gradient-linear,instrumented-existing,33.598765432098766,28.6,true,120,540,21772,64800,212/255/255/0,58.4/76.44/77.18/0.0,none,images/reference/fillrect_gradient.png,images/generated/fillrect_gradient.png,images/diff/fillrect_gradient.png,
gradient_dirty_laundry,gradient_dirty_laundry,GRADIENT,gradient-linear,instrumented-existing,0.546239837398374,0.0,true,640,615,2150,393600,255/254/255/0,13.39/12.15/12.52/0.0,none,images/reference/gradient_dirty_laundry.png,images/generated/gradient_dirty_laundry.png,images/diff/gradient_dirty_laundry.png,
gradients_many,gradients_many,GRADIENT,gradient-linear,instrumented-existing,42.64204545454545,0.0,true,880,400,150100,352000,255/255/255/0,144.17/140.82/122.18/0.0,none,images/reference/gradients_many.png,images/generated/gradients_many.png,images/diff/gradients_many.png,
gradient_many_hard_stops,gradient_many_hard_stops,GRADIENT,gradient-hard-stops,instrumented-existing,0.0,0.0,true,500,500,0,250000,202/245/241/0,130.54/139.63/103.02/0.0,none,images/reference/gradient_many_hard_stops.png,images/generated/gradient_many_hard_stops.png,images/diff/gradient_many_hard_stops.png,
gradient_many_stops,gradient_many_stops,GRADIENT,gradient-many-stops-gated,expected-unsupported,0.0,0.0,true,500,500,0,250000,202/245/240/0,130.28/139.16/69.72/0.0,unsupported.material.gradient_many_stops,images/reference/gradient_many_stops.png,images/generated/gradient_many_stops.png,images/diff/gradient_many_stops.png,
gradient_matrix,gradient_matrix,GRADIENT,gradient-local-matrix,instrumented-existing,0.0,0.0,true,800,800,0,640000,53/253/202/0,15.29/34.48/18.98/0.0,none,images/reference/gradient_matrix.png,images/generated/gradient_matrix.png,images/diff/gradient_matrix.png,
gradients_alpha_many_stops,gradients_alpha_many_stops,GRADIENT,gradient-many-stops-gated,expected-unsupported,0.0,0.0,true,100,100,0,10000,32/32/32/0,23.5/23.52/23.52/0.0,unsupported.material.gradient_many_stops,images/reference/gradients_alpha_many_stops.png,images/generated/gradients_alpha_many_stops.png,images/diff/gradients_alpha_many_stops.png,
